"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1970",2.55237970789247,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1971",2.85135211850852,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1972",3.18366717734073,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1973",3.83718307899071,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1974",4.69019915810015,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1975",5.20200880556582,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1976",5.79384080833557,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1977",6.26786212135209,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1978",6.5901743857713,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1979",7.46041749970315,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1980",8.43457853337016,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1981",9.70771197782602,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1982",10.0550312282777,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1983",10.6296361962251,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1984",11.8538670902173,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1985",13.0619823709886,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1986",13.9702528799424,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1987",14.7789322108204,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1988",18.1088387994143,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1989",22.5876027086383,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1990",22.9336440702782,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1991",23.5288352122987,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1992",23.8887182284041,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1993",24.5115926793557,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1994",25.3895490483162,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1995",25.6960428257686,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1996",25.9036676427525,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1997",26.941791727672,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1998",28.9211483162518,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1999",31.0191476573938,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2000",33.5956727672035,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2001",37.3685122986822,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2002",44.3723894582723,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2003",52.3756566617862,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2004",55.6469999999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2005",56.6647499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2006",60.5794999999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2007",66.9602499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2008",69.6027499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2009",72.4212499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2010",80.8769999999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2011",79.1347499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2012",78.8802499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2013",84.1064999999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2014",91.7202499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2016",105.5,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2017",114.30825,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2018",112.66375,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2019",108.08375,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2020",113.9165,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2021",133.76375,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2022",142.65002381061,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1970",56.2012223459281,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1971",57.6677247217294,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1972",58.6779675157764,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1973",60.7635550781112,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1974",61.6745323685159,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1975",57.3529142561222,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1976",57.0413243357087,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1977",55.9030801504686,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1978",53.2793874538388,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1979",53.8482957549059,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1980",54.7618634691911,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1981",56.4705387004751,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1982",52.8670220968117,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1983",51.7113573276581,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1984",53.0762784550321,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1985",55.0446555540389,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1986",54.9952133916385,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1987",54.6552968900421,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1988",61.422595028792,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1989",69.2836553276546,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1990",65.3926808014648,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1991",66.578462632169,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1992",65.650859222813,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1993",65.6629862960265,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1994",64.9759639131737,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1995",63.0946384747913,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1996",60.467100281816,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1997",60.7076576706012,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1998",64.397424886488,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1999",66.0174540210658,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2000",67.7003585032117,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2001",69.6540126292461,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2002",81.1259504158026,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2003",91.6154252166957,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2004",91.0630618792055,
