"Continente", "País", "Código ISO", "Superficie (km²)", "Población (est. 2004)", "Capital", "Idiomas Oficiales", "Moneda"
"Oceanía", "Australia", "AUS", 7 692 030, 19 483 000, "Camberra", "Inglés", "Dólar australiano"
"Oceanía", "Fiyi", "FJI", 18 376, 823 000, "Suva", "Inglés, Fiyiano e Indostánico", "Dólar fiyiano"
"Oceanía", "Kiribati", "KIR", 811, 95 000, "Tarawa", "Inglés y gilbertés", "Dólar de Kiribati y "Dólar australiano"
"Oceanía", "Islas Marshall", "MHL", 181, 53 000, "Majuro", "Inglés", "Dólar estadounidense"
"Oceanía", "Micronesia", "FSM", 700, 122 000, "Palikir", "Inglés", "Dólar estadounidense"
"Oceanía", "Nauru", "NRU", 21, 12 000, "Yaren", "Inglés y Nauruano", "Dólar australiano"
"Oceanía", "Nueva Zelanda", "NZL", 270 534, 3 939 000, "Wellington", "Inglés y Maori", dólar neozelandés"
"Oceanía", "Palaos", "PLW", 508, 20 000, "Ngerulmud", "Inglés, palauano, japonés, angaur, tobiano y sonsorol", "Dólar estadounidense"
"Oceanía", "Papúa Nueva Guinea", "PNG", 462 840, 5 378 000, "Puerto Moresby", Inglés, "Tok pisin (criollo o pidgin inglés), Hiri motu", "Kina"
"Oceanía", "Islas Salomón", "SLB", 27 556, 443 000, "Honiara", "Inglés y aproximadamente 87 lenguas nativas", "Dólar de las Islas Salomón"
"Oceanía", "Samoa", "WSM", 2 831, 176 000, "Apia", "Samoano e Inglés", "Tala"
"Oceanía", "Tonga", "TON", 748, 101 000, "Nukualofa", "Tongano, Inglés", "Pa'anga"
"Oceanía", "Tuvalu", "TUV", 26, 11 000, "Funafuti", "Tuvaluano e Inglés", "Dólar tuvaluano y dólar australiano"
"Oceanía", "Vanuatu", "VUT", 12 190, 206 000, "Port Vila", "Inglés", "Bislama, francés, Vatu"
"América", "Antigua y Barbuda", "ATG", 442, 93 581, "Saint John", "Inglés", "Dólar del Caribe-Este (EC$, XCD)."
"América", "Argentina", "ARG", 2 780 400, 43 886 748, "Buenos Aires", "Español", "Peso argentino ($, ARS)."
"América", "Bahamas", "BHS", 13 880, 327 316, "Nasáu", "Inglés", "Dólar de Bahamas (B$, "BSD)."
"América", "Barbados", "BRB", 430, 291 495, "Bridgetown", "Inglés", Dólar de "Barbados ($, BBD)."
"América", "Belice", "BLZ", 22 966, 353 858, "Belmopán", "Inglés", "Dólar beliceño ($, BZD)"
"América", "Bolivia", "BOL", 1 098 581, 10 969 649, "Sucre", "Español", "Boliviano (Bs., BOB)."
"América", "Brasil", "BRA", 8 514 877, 205 823 665, "Brasilia", "Portugués", "Real (R$, BRL)."
"América", "Canadá", "CAN", 9 984 670, 35 362 905, "Ottawa", "Inglés, Francés", "Dólar canadiense (C$, "CAD)."
"América", "Chile", "CHL", 756 102, 17 650 114, "Santiago", "Español", "Peso chileno ($, "CLP)."
"América", "Colombia", "COL", 1 141 748, 47 220 856, "Bogotá", "Español", "Peso colombiano ($, COP)."
"América", "Costa Rica", "CRI", 51 100, 4 872 543, "San José", "Español", "Colón (₡, CRC)."
"América", "Cuba", "CUB", 110 860, 11 179 995, "La Habana", "Español", "Peso cubano convertible ($, CUC)."
"América", "Dominica", "DMA", 751, 73 757, "Roseau", "Inglés", "Dólar del Caribe Oriental (EC$, XCD)."
"América", "Ecuador", "ECU", 283 561, 16 080 778, "Quito", "Español", "Dólar estadounidense ($, USD)."
"América", "El Salvador", "SLV", 21 041, 6 156 670, "San Salvador", "Español", "Dólar estadounidense ($, USD)."
"América", "Estados Unidos", "USA", 9 371 174, 323 995 528, "Washington D. C.", "Inglés, Español", "Dólar estadounidense ($, USD)."
"América", "Granada", "GRD", 344, 111 219, "Saint George", "Inglés", "Dólar del Caribe-Este (EC$, XCD)."
"América", "Guatemala", "GTM", 108 889, 15 189 958, "Ciudad de Guatemala", "Español", "Quetzal (moneda) (Q, GTQ)."
"América", "Guyana", "GUY", 214 969, 735 909, "Georgetown", "Inglés", "Dólar guyanés ($,GYD)."
"América", "Haití", "HTI", 27 750, 10 485 800, "Puerto Príncipe", "Francés, Criollo, haitiano", "Gourde ("G, HTG)."
"América", "Honduras", "HND", 112 492, 8 893 259, "Tegucigalpa", "Español", "Lempira (Lps, HNL)."
"América", "Jamaica", "JAM", 10 991, 2 970 340, "Kingston", "Inglés", "Dólar jamaiquino ($, "JMD)."
"América", "México", "MEX", 1 964 375, 123 166 749, "Ciudad de México", "Español", "Peso mexicano ($, MXN)."
"América", "Nicaragua", "NIC", 130 370, 7 317 798, "Managua", "Español", "Córdoba (C$, NIO)."
"América", "Panamá", "PAN", 75 420, 3 705 246, "Ciudad de Panamá", "Español", "Dólar estadounidense ($, USD)."
"América", "Paraguay", "PRY", 406 752, 6 862 812, "Asunción", "Español, Guaraní", "Guaraní (₲, PYG)."
"América", "Perú", "PER", 1 285 216, 30 741 062, "Lima", "Español", "Sol (S/) (PEN)."
"América", "República Dominicana", "DOM", 48 670, 10 606 865, "Santo Domingo", "Español", "Peso dominicano (RD$, DOP)."
"América", "San Cristóbal y Nieves", "KNA", 261, 52 329, "Basseterre", "Inglés", "Dólar del Caribe Oriental (EC$, XCD)."
"América", "San Vicente y las Granadinas", "VCT", 389, 102 350, "Kingstown", "Inglés", "Dólar del Caribe Oriental (EC$, XCD)."
"América", "Santa Lucía", "LCA", 616, 164 464, "Castries", "Inglés", "Dólar del Caribe Oriental (EC$, XCD)."
"América", "Surinam", "SUR", 163 820, 585 824, "Paramaribo", "Neerlandés", "Dólar surinamés ($, "SRD)."
"América", "Trinidad y Tobago", "TTO", 5128, 1 220 479, "Puerto España", "Inglés", "Dólar trinitense (TT$, "TTD)."
"América", "Uruguay", "URY", 176 215, 3 444 006, "Montevideo", "Español", "Peso uruguayo ($, UYU)."
"América", "Venezuela", "VEN", 916 445, 30 912 302, "Caracas", "Español", "Bolívar (Bs., VEF)."
"Asia", "Hong Kong", "HKG", 1 108, 7 167 403, "Hong Kong", "Cantonés, Inglés", "Dólar de Hong Kong (HK$, HKD)."
"Asia", "Macao", "MAC", 28.2, 597 425, "Macao", "Cantonés, Portugués", "Pataca macaense (MOP$, MOP)."
"Asia", "Abjasia", "ABH", 8 432, 216 000, "Sujumi", "Abjasio, Ruso, Georgiano", "Apsar, Rublo ruso"
"Asia", "Israel", "ISR", 20 770, 8 174 527, "Jerusalén", "Hebrero, Árabe", "Nuevo séquel"
"Asia", "Palestina", "PSE", 6220, 4 451 014, "Jerusalén Este", "Árabe", "Nuevo séquel"
"Asia", "Taiwán", "TWN", 35 980, 23 464 787, "Taipéi", "Taiwanés", "Nuevo dólar taiwanés"
"Asia", "Osetia del Sur", "RSO", 3900, 70 000, "Tsjinval", "Osetio, Ruso, Georgiano", "Rublo ruso"
"Asia", "Afganistán", "AFG", 652.230, 33.332.025, "Kabul", "Pastún, Persa darí", "Afgani afgano (Af, AFN)"
"Asia", "Arabia Saudita", "SAU", 2.149.690, 28.160.273, "Riad", "Árabe", "Riyal saudí (SR, SAR)"
"Asia", "Armenia", "ARM", 29 800, 3 229 900, "Ereván", "Armenio", "Dram armenio (դր., AMD)"
"Asia", "Azerbaiyán", "AZE", 86 600, 9 872 765, "Bakú", "Azerí", "Manat azerbaiyano (m, AZN)"
"Asia", "Bangladés", "BGD", 148 460, 156 186 882, "Daca", "Bengalí", "Taka bangladesí (Tk, BDT)"
"Asia", "Baréin", "BHR", 760, 1 378 904, "Manama", "Árabe", "Dinar bareiní (BD, BHD)"
"Asia", "Birmania", "MMR", 676 578, 56 890 418, "Naipyidó", "Birmano", "Kyat birmano (K, MMK)"
"Asia", "Brunéi", "BRN", 5 765, 436 620, "Bandar Seri Begawan", "Malayo", "Dólar de Brunéi (B$, BND)"
"Asia", "Bután", "BTN", 38 394, 750 125, "Timbu", "Dzongkha", "Ngultrum butanés (Nu., BTN)"
"Asia", "Camboya", "KHM", 181 035, 15 957 223, "Nom Pen", "Camboyano", "Riel camboyano (CR, KHR)"
"Asia", "Catar", "QAT", 11 586, 2 258 283, "Doha", "Árabe", "Riyal catarí (QR, QAR)"
"Asia", "China", "CHN", 9 596 960, 1 373 541 278, "Pekín", "Chino", "Renminbi chino (¥, CNY)"
"Asia", "Chipre", "CYP", 9251, 1 205 575, "Nicosia", "Griego, Turco", "Euro (€, EUR)"
"Asia", "Corea del Norte", "PRK", 120 538, 25 115 311, "Pionyang", "Coreano", "Won norcoreano (₩, KPW)"
"Asia", "Corea del Sur", "KOR", 99 720, 50 924 172, "Seúl", "Coreano", "Won surcoreano (₩, KRW)"
"Asia", "Egipto", "EGY", 1 001 450, 94 666 993, "El Cairo", "Árabe", "Libra egipcia (LE, £E, EGP)"
"Asia", "Emiratos Árabes Unidos", "ARE", 83 600, 5 927 482, "Abu Dabi", "Árabe", "Dírham de los Emiratos Árabes Unidos (Dhs, AED)"
"Asia", "Filipinas", "PHL", 300 000, 102 624 209, "Manila", "Tagalo, Inglés", "Peso filipino (₱, PHP)"
"Asia", "Georgia", "GEO", 69 700, 4 928 052, "Tiflis", "Georgiano", "Lari georgiano (GEL)"
"Asia", "India", "IND", 3 287 263, 1 266 883 598, "Nueva Delhi", "Hindi, Inglés", "Rupia india (₹, INR)"
"Asia", "Indonesia", "IDN", 1 904 569, 258 316 051, "Yakarta", "Indonesio", "Rupia indonesia (Rp, IDR)"
"Asia", "Irak", "IRQ", 438 317, 38 146 025, "Bagdad", "Árabe", "Dinar iraquí (ع.د, IQD)"
